"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF676",-1.91439106044379,0.476794553808154,-10.4242754232475,1.32933943883741e-20,5.25245471215933e-19,36.0288902706774
"HAPLN1",1.91173069327391,2.5233265095103,15.1066928721662,6.4715273156022e-35,1.02683265304488e-32,68.7203008917776
"SCN2B",-1.90682845910734,1.04097023231797,-8.58139827606228,2.58766007918934e-15,4.85964009839184e-14,23.9861126802936
"IRS4",-1.90318999028877,0.290319206229365,-13.5633856713376,3.74281871971333e-30,4.30980228691104e-28,57.8360585823404
"PON3",-1.89179496136362,0.185328744086921,-12.3758555542071,1.6911169395974e-26,1.43183602730366e-24,49.485249671159
"NEFM",-1.88831230870015,0.979631277155783,-9.37623051113554,1.5045528910293e-17,4.04243270761752e-16,29.0708674113997
"CHRDL2",-1.88823921057793,1.34680354462919,-7.23719863251868,9.57557043031995e-12,1.01985898383392e-10,15.894545015723
"SCN7A",-1.88127212373865,0.851975296788873,-8.74850506503669,8.90587836064531e-16,1.80002361931157e-14,25.0389812534193
"SCRG1",-1.86993291169239,0.528684377578543,-9.69571428341691,1.81072174946133e-18,5.54526656130628e-17,31.1648301981272
"RSPO1",-1.84615041426059,1.66298195904571,-8.15213059600436,3.84107626135352e-14,6.00943538373718e-13,21.3254767344402
"MT1H",1.84063320601862,1.70765599450164,9.85322299196696,6.31844005152018e-19,2.05359492706747e-17,32.2064685245252
"B3GNT4",1.83813597933296,2.01792691162811,17.4018455145354,6.37565722152547e-42,2.00743544798375e-39,84.7330473950401
"KLHL38",-1.82895639762898,0.36632224770426,-11.691369941906,2.07875747087028e-24,1.37341120641006e-22,44.7131789864028
"CASP12",-1.82477692137104,0.439006904220581,-11.798148800095,9.84089158165252e-25,6.72216292413152e-23,45.4547074727578
"ELF5",1.82331366019413,1.55638166144785,7.24871520443906,8.95232490797417e-12,9.57528127497811e-11,15.9606568524957
"ANXA13",-1.82305497926575,0.820594760988568,-8.34822738200428,1.12894605195183e-14,1.92628212471476e-13,22.5327687577343
"ZNF695",1.81999258620369,2.52628414407308,21.777145160152,1.05053505659819e-54,2.11693319255102e-50,113.915485646814
"OPCML",-1.81702298198179,0.759527243899391,-8.82247394600924,5.53887463760804e-16,1.16873154787895e-14,25.5079156007533
"DCAF12L2",-1.81496921694309,0.662081978188618,-8.78301095247933,7.13758028051475e-16,1.47215332889102e-14,25.2575188057365
"CACNA2D1",-1.80640931970093,0.723842329280603,-9.11712328637378,8.21875980274504e-17,1.95995537023805e-15,27.3926320845035
"PLA2G4F",1.80382273499634,1.96583723310632,9.50388931988906,6.47572220178539e-18,1.83275671472159e-16,29.904428538701
"CRHBP",-1.80318474214091,0.821119069609635,-9.6539103929605,2.39214706758079e-18,7.17323743434828e-17,30.8893727938488
"AIM1L",1.80288977251756,2.32035032316313,16.0424276555322,8.66362517752453e-38,1.76344152477068e-35,75.2876528599114
"RDM1",1.79476169472458,1.88874686192929,14.9034578715571,2.73611427075491e-34,4.20881211221238e-32,67.2891671561377
